ID,genre,situation_academique,domaine_etude,a_deja_vecu_kot,region_domicile,classement_zone_preferee,destination_ideale,lien_destination
112,Homme,Je ne suis plus aux etudes,Gestion (ingenieur),Oui,Urbaine,Amerique latine,,
113,Femme,Je ne suis plus aux etudes,Sciences,Oui,Urbaine,Oceanie,,
116,Homme,Master,Sciences,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),,
117,Femme,Je ne suis plus aux etudes,Psychologie,Oui,Urbaine,Amerique latine,,
118,Homme,Bac,Droit,Oui,Rurale,Amerique latine,equateur ,Oui
119,Homme,Master,Droit,Oui,Periurbaine,Amerique du Nord (US et Canada),,
120,Homme,Master,Ingenieur civil / industriel,Oui,Urbaine,Asie (centrale/ du Sud),Mexique ,Oui
122,Femme,Je ne suis plus aux etudes,Autre / Je ne suis pas concerne,Non,Periurbaine,Europe occidentale,,
124,Homme,Secondaires,Autre / Je ne suis pas concerne,Non,Urbaine,Europe occidentale,,
126,Femme,Je ne suis plus aux etudes,Sciences de l'education,Oui,Periurbaine,Amerique du Nord (US et Canada),,
127,Homme,Je ne suis plus aux etudes,Gestion (ingenieur),Oui,Urbaine,Amerique latine,,
128,Homme,Master,Ingenieur civil / industriel,Oui,Urbaine,Amerique du Nord (US et Canada),,
129,Homme,Bac,Informatique,Oui,Rurale,Asie de l'Est,,
"130,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Oceanie,Vienne,Oui"
131,Homme,Doctorat,Sciences,Oui,Periurbaine,Amerique du Nord (US et Canada),Montreal o? Vancouver,Oui
132,Homme,Master,Sciences,Oui,Periurbaine,Asie de l'Est,Japon,Oui
133,Homme,Je ne suis plus aux etudes,Ingenieur civil / industriel,Non,Urbaine,Europe occidentale,,
"135,Femme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Amerique latine,Royaume-Uni ,Oui"
"136,Femme,Bac,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Europe occidentale,,"
137,Femme,Je ne suis plus aux etudes,Droit,Oui,Urbaine,Amerique latine,,
"138,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Amerique latine,Argentine,Oui"
139,Homme,Bac,Ingenieur civil / industriel,Non,Periurbaine,Scandinavie (Pays du nord de l'Europe),Canada,Non
140,Homme,Master,Ingenieur civil / industriel,Oui,Periurbaine,Amerique du Nord (US et Canada),,
141,Homme,Bac,Informatique,Oui,Urbaine,Amerique du Nord (US et Canada),Australie,Non
142,Homme,Master,Ingenieur civil / industriel,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),Trondheim,Non
144,Femme,Master,Sciences,Non,Rurale,Amerique latine,,
145,Femme,Je ne suis plus aux etudes,Autre / Je ne suis pas concerne,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),Norv?ge ,Non
146,Homme,Master,Gestion (ingenieur),Oui,Urbaine,Asie (centrale/ du Sud),,
147,Femme,Doctorat,Sciences,Oui,Rurale,Amerique latine,Argentine ,Non
148,Femme,Master,Droit,Oui,Rurale,Amerique latine,,
149,Homme,Master,Sciences,Oui,Rurale,Amerique latine,Rio,Non
151,Homme,Bac,Sciences,Non,Urbaine,Amerique du Nord (US et Canada),Canada,Oui
152,Femme,Master,Sciences de la sante (Medecine / dentisterie / kinesiterapeute / ...),Oui,Periurbaine,Amerique latine,Chili,Oui
"153,Femme,Master,""Philosophie, arts et lettres"",Oui,Rurale,Asie de l'Est,,"
154,Homme,Master,Droit,Oui,Urbaine,Amerique du Nord (US et Canada),Chili,Oui
155,Femme,Je ne suis plus aux etudes,Autre / Je ne suis pas concerne,Oui,Rurale,Asie (centrale/ du Sud),,
156,Homme,Bac,Sciences,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),Norv?ge,Oui
"157,Femme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Periurbaine,Amerique latine,Bresil,Oui"
158,Homme,Master,Sciences,Oui,Periurbaine,Afrique Sub-Saharienne,,
"159,Femme,Bac,""Philosophie, arts et lettres"",Oui,Rurale,Europe occidentale,Espagne,Oui"
160,Homme,Master,Ingenieur civil / industriel,Oui,Urbaine,Amerique latine,,
161,Homme,Master,Ingenieur agronomique?,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),Canada,Oui
"163,Femme,Bac,""Philosophie, arts et lettres"",Oui,Urbaine,Amerique latine,Mexico City,Non"
164,Homme,Bac,Informatique,Non,Periurbaine,Europe occidentale,Londres,Oui
"165,Homme,Bac,Sciences,Non,Periurbaine,Scandinavie (Pays du nord de l'Europe),""Danemark,Canada"",Oui"
166,Homme,Doctorat,Sciences,Oui,Urbaine,Scandinavie (Pays du nord de l'Europe),Finlande,Oui
167,Homme,Bac,Ingenieur civil / industriel,Oui,Periurbaine,Asie (centrale/ du Sud),,
"168,Homme,Master,""Sciences politiques, sociales, economiques, de communication"",Oui,Urbaine,Europe occidentale,,"
169,Homme,Master,Ingenieur civil / industriel,Oui,Urbaine,Amerique latine,Mexique,Non
170,Homme,Bac,Sciences,Non,Periurbaine,Scandinavie (Pays du nord de l'Europe),,
172,Femme,Je ne suis plus aux etudes,Sciences de l'education,Non,Periurbaine,Afrique Sub-Saharienne,,
"174,Homme,Je ne suis plus aux etudes,""Sciences politiques, sociales, economiques, de communication"",Oui,Rurale,Asie de l'Est,,"
175,Homme,Bac,Ingenieur civil / industriel,Oui,Periurbaine,Scandinavie (Pays du nord de l'Europe),Su?de,Non
